month,ratio_quantity.97R,ratio_quantity.99A,ratio_quantity.99C,ratio_quantity.99E,ratio_quantity.99F,ratio_quantity.99G,ratio_quantity.A3A8R,ratio_quantity.B2M3M,ratio_quantity.D2P2L,ratio_quantity.D4U1Y,ratio_quantity.D9Y0V,ratio_quantity.M1J4Y,ratio_quantity.M2L0M,ratio_quantity.W2U3Z,ratio_quantity.X2C4Y
1622505600,30700.547513679863,38136.67975796077,32630.86302050462,27525.23361201604,31269.90509226843,28085.16878813381,12870.522073840848,29770.303630664024,35236.294548331905,18500.78710251522,28587.878087124653,22343.94593683988,37657.67060536005,9764.324956467048,33835.60829866623
1625097600,30568.614697454315,37697.701363284534,32405.13465376662,27561.200080089642,31205.37372867675,28079.00196116576,12885.354825146045,29846.817979390373,35304.58005069003,18675.25634804108,28170.258743698076,22589.91347228092,37422.79276145089,9842.783884524037,32841.227467428165
1627776000,29165.89212514248,36108.35295321935,31750.793061660715,25302.01398316828,29755.51987866271,26514.48683802709,12188.705555560353,28418.4378220858,33731.31217645385,17384.643716114046,26684.916610636665,21511.730999469153,35805.547919142016,9145.731069462243,32170.148910776243
1630454400,30530.293096587637,37551.078229033956,32328.156762528535,26632.904758234592,30237.835656048286,27266.738103867596,12561.884239634035,29860.240539373757,35741.64333582757,17629.463965945648,28250.37824048828,22042.069254749702,37055.672558392085,9764.158980481738,33447.43880493173
1633046400,29520.859416858366,36448.56381838449,30899.499148865823,25411.27114988761,29452.336636538133,27083.14343519272,12305.837381474412,27817.9783072017,33828.277298864035,17001.034387435066,26657.154696658767,21457.193239747445,35630.778116843394,9136.587203705367,31251.667661868898
1635724800,29329.44225509487,37310.99444558951,31811.748100570396,26372.08363439942,29271.698460049996,27311.978269664207,12825.796741950116,29303.83735928931,34830.869912957285,17994.996457370762,26703.096228642327,21648.35990570368,35491.41898909721,9395.519284205433,32450.664504372846
1638316800,31992.136344443912,38426.599584003634,33603.234633704305,26809.43593446577,33754.883730928595,28845.245190464444,12707.55729908879,30725.366950138177,36479.01138943293,19663.123763013104,28995.84624501781,23221.965767930702,39248.44230947527,9641.946205827366,34129.08825434418
1640995200,29075.929226657914,36319.90992411029,30398.210215356063,26368.600097432074,29039.58979925203,25965.93176625083,11965.628810460663,27579.24481265275,34086.05996152144,17025.798667918836,26371.393576151142,21464.176402446643,35627.7007054211,9157.011746707205,31963.63883062374
1643673600,27276.60499318663,33708.45912228078,28372.434623979163,23597.66491666171,28074.29386268791,25320.393145426,11211.200053944558,26644.615616431827,31625.794210018976,16732.433977617773,25299.326626523714,19775.35662148072,33824.31987938102,8397.42008946962,30242.526363054378
1646092800,30238.59378115643,38517.07821238904,32530.754793525113,28284.60842624843,30231.312142826457,27539.90022004106,12967.195706945262,29673.747127312552,36529.451742358666,18805.58480095192,28108.060736130246,22147.361138094544,38331.81070260146,9665.062532162925,34044.564404156925
1648771200,28403.73685658072,35937.47158920724,29412.266342120158,24840.736232370706,28121.724615657226,27048.742344006685,12054.284668164279,27924.819660597987,33394.773565714466,17708.84022251867,26575.51307368287,20895.582513908736,34934.39259856737,9053.135570467863,31128.996012083535
1651363200,29813.084192212704,36164.09197192703,31630.184600848577,25919.82315421582,30954.080837359095,26975.99260904028,12282.961604998825,28686.340896377962,35219.03884555998,18034.71680298202,26805.00985864252,21775.67772513607,37556.04528601034,9183.142436384513,33156.583670309636
1654041600,29029.483463723736,36482.9790547874,29694.0287740953,25522.576015253682,29037.670528015788,26038.665112762996,11940.560730247053,27845.350891752063,34524.58752321761,17222.387758312583,26780.75669630719,20690.724829656978,36064.71441533577,9036.321827574213,32061.972146921344
1656633600,28986.13597249155,35098.177601608775,28662.39945545788,24772.53194629045,28814.04525605398,26682.34597827799,11844.035644473548,27763.60244658167,34113.68392557557,17215.58296046672,26163.604982923116,20584.68799734136,36598.0999723409,9032.659433948369,31112.601020059985
1659312000,28653.837689036714,36614.24520974275,30456.29395186742,25934.31496874978,29775.5024005487,25511.985917562124,11961.753875454317,28698.687275349643,34595.08082112999,17587.43132725034,26646.113309191176,21173.955642563455,36578.84258468436,9037.48777205958,32450.61978345237
1661990400,29585.692027242047,36265.28361716483,29589.514563106786,25159.337415453796,29442.695120514825,27016.42300292019,11961.238625011953,28043.684648801114,34470.64024585933,17564.168262563555,26302.474868341134,20429.030900478814,36048.78370451593,9097.749897076244,31949.166943407596
1664582400,28435.84033974748,34806.12911260952,28870.116484668633,25682.80352955093,28045.590115268387,26043.251491570074,11835.230336793016,27364.005037736057,33448.30207927587,17117.061330298584,26112.24563571944,20604.993747425404,35713.64576972334,8799.542593582664,31696.444044478747
1667260800,28358.21086833712,35351.915811274455,29039.614684600696,24873.568699968375,29598.287773785076,25742.83681020231,11459.602730684372,27863.611871116045,34673.842321289296,17430.226475209132,26105.961748585756,20539.832278808964,35828.69272482094,8955.848337993271,32780.74442695374
1669852800,28664.551849501662,35705.360434753886,28946.84402782031,24788.460232067868,29638.777819367944,27560.412979351033,11895.847000428439,28391.425672043624,34229.668954650784,17752.48756448888,26759.725479639405,20539.222750341203,37851.924963549944,8909.687181356252,32145.052138471292
1672531200,28229.886996741294,34729.95836244139,29183.81208803881,24972.85099142272,28979.677008665883,26421.768362617506,11721.77310266357,27462.1405514088,33914.086842577075,16945.093705229832,26581.87379642771,20358.909698660664,35628.30319503524,8828.97196109552,31835.276730960468
