month,ratio_quantity.11M,ratio_quantity.11N,ratio_quantity.11X,ratio_quantity.12F,ratio_quantity.13T,ratio_quantity.14L,ratio_quantity.14Y,ratio_quantity.15A,ratio_quantity.15C,ratio_quantity.15E,ratio_quantity.15F,ratio_quantity.15M,ratio_quantity.15N,ratio_quantity.16C,ratio_quantity.18C
1619827200,24624.21894897064,34601.37811178643,26690.98568790396,39394.62489543893,27118.647932330827,29973.315733178893,16511.533534406102,15329.966353866974,24212.009945033045,20753.229770567355,27015.213687018604,29461.44242992148,29515.574884159585,44187.4403559796,28106.05415865523
1622505600,25768.15334273946,36617.02587529289,28275.699679655125,41184.40001654233,29168.807532599854,32180.531729886294,17171.077301314257,16049.533602104795,25703.352171243994,22570.64266263081,29664.131382943775,31327.055345866283,31977.267167408416,46398.90572430809,30978.15943681623
1625097600,25695.529925969302,36083.393004357546,28099.26267296711,41305.546045369505,28729.507897008778,31338.639361445305,16884.60860629728,16079.95723998678,25462.294196540803,21975.2864635408,29185.39144949147,31229.830011611735,31262.24527256301,45574.12137720604,31022.08692473283
1627776000,24466.2075760403,34444.15240317609,26466.50471891948,39392.69906221349,27977.707143018433,30335.415563603412,15964.760041251853,15104.550997871704,24243.957223747064,21588.72266721337,28257.592795865818,29941.203415607542,29966.231850832333,44588.90720179026,29201.04454522256
1630454400,25212.075140836874,36163.97263793974,28074.87718119443,41004.23834697692,28524.02678700865,31501.492866275566,16524.76452813694,15918.056906891936,25026.056077925474,22278.443642077666,28858.58330790868,31221.617627225427,30863.149531494833,44586.68163196589,30567.42499575205
1633046400,24072.848121240997,33914.56618031974,25894.74026883109,39494.12192908,26805.063200983648,29842.83003818611,15654.394555319881,15065.159651321725,23541.8251816857,21473.3949298001,27138.277908594853,29540.892697713178,29909.529750252226,44016.6451111644,29408.949910915566
1635724800,25556.674729803108,35084.4331324675,26962.72498752411,40895.753199694525,27191.442196688113,30395.493478472217,16992.54631904024,15261.816579107606,24719.47429335958,21924.356222378552,29127.898365228444,30367.5034181295,30692.108358376114,43658.50700572001,30147.07803693598
1638316800,26229.8513785277,37670.447424182814,29005.979338355497,41758.420930074906,29711.81505001916,31251.529729245587,17418.545505609218,16555.207897711214,25702.713679102224,22790.805822853607,29817.54068389472,32073.528820202726,32316.94317601679,46555.68790402209,31472.30674985345
1640995200,24922.379261247657,33997.87064333284,26419.841446762523,39663.91722804724,26613.90931133469,29513.415097872585,16303.872926578755,15215.130410561895,23778.52394419484,21325.89975062154,27571.662351808547,29915.624101434107,29477.551284928526,42967.21592656161,29122.66006513122
1643673600,22737.54189372236,32957.968880490975,24433.37410000488,36986.83890926769,25019.85712694051,27208.339318650615,15864.741223721347,14098.124008710154,22260.55922055826,19779.92681150454,25895.855063921714,28072.10692990317,27634.45810013646,40117.16194719307,26997.680894022054
1646092800,25821.447624216482,36520.33727970114,28066.928284512782,41873.29706067763,28264.23751256441,31202.17281826263,16415.30400824617,16204.946883566106,25014.29129975642,22596.280574389213,28964.380958558348,31751.5468120707,31383.633471967,45453.010025978845,30829.214597902635
1648771200,25012.06460568048,34448.11449569285,26288.855443066506,40959.40643922435,26495.95131717987,28989.33880951666,15864.083010549082,15477.692843277911,23200.382786939335,20735.8541525824,27279.231845171376,29665.955987038687,29765.70055171961,41559.43883260011,28648.80554237169
1651363200,25134.06732394072,34505.339434064575,26496.908412346183,40493.84747654083,25992.37023545041,29890.324242424253,16104.782218230808,15694.193975795639,24033.925233644877,21706.760782046204,28151.888610221504,30775.165004791103,30063.135292891384,43367.91844285819,29812.65510753185
1654041600,24682.8937873617,34244.08722226588,25878.832550634757,39852.14316822826,27296.850123778906,28899.30678823969,16057.36051291162,15230.451696889735,23650.77355540064,21227.791639442195,27866.29115422538,30013.985224050342,29715.634995170658,42213.84319052286,28932.290981569393
1656633600,23814.632761433084,34191.214174310306,25883.56886904292,39465.2542248282,26369.114771115826,28550.885277890313,15802.100514820237,15266.449197935905,22549.80920331157,20882.371383183854,27163.61950063114,29711.129989884237,29599.912818466313,41348.96846662603,29007.503943805954
1659312000,24950.64483519403,35148.373795980035,26584.22317285893,39536.871348207336,27100.106278401185,29697.603093812937,16362.019588139745,15316.117029467343,23275.857814828294,22013.24605098256,28272.37147617256,30426.25420079722,29767.603529197386,42848.754523128126,29680.458063389007
1661990400,24552.887611467322,34480.70831697888,25035.314638146883,39915.770047764905,26259.229572360102,29451.430625900593,15613.53138375836,15309.024237702079,23515.49944811584,21593.225413143075,27151.13016733394,30121.94385026979,29558.705309838697,41409.94265653402,28961.11882480692
1664582400,24026.450490341842,33467.73436378987,26053.196386805103,39079.39807004517,25233.98806412348,29194.946586830414,16151.924769859801,14929.351283654672,22844.334058785098,20920.476808075025,26836.87490885086,29372.099455937776,29261.448190320385,41913.766941281334,29429.072392257967
1667260800,24987.010708660015,34223.08819925072,25982.1182631231,39959.409575263744,25787.345685812285,28422.856023009237,15693.569692942005,14982.12517760184,23121.090043883378,21146.52511156157,27240.04045078726,30213.48900638586,29526.25359648758,41544.23693899504,29327.907262488094
1669852800,24518.770471817545,35611.19496939159,25144.55419109266,40939.596158523884,26147.3312685106,29051.2608192587,16014.678204908192,15565.196229862579,22733.638132277487,21224.3024331298,27123.88377465403,30520.459485409978,29819.241733862928,41539.382276167176,30037.876369855087
1672531200,24449.754054792178,34342.934629022384,25815.20337359529,38087.53376764578,24566.818690179192,28254.75138772078,15576.670395067531,15102.887101357857,22621.075822068386,21364.137663703026,27406.45291689809,29693.041141861537,29411.326838910965,41338.54058604749,28951.773059662075
