month,ratio_quantity.02Y,ratio_quantity.03F,ratio_quantity.03H,ratio_quantity.03K,ratio_quantity.03L,ratio_quantity.03N,ratio_quantity.03Q,ratio_quantity.03R,ratio_quantity.03W,ratio_quantity.04C,ratio_quantity.04V,ratio_quantity.04Y,ratio_quantity.05D,ratio_quantity.05G,ratio_quantity.05Q
1567296000,61870.65952447587,56123.71588832167,59031.56009629499,85600.0507956139,76660.21790041745,66506.3038110078,63073.64431228577,89268.7415803654,58066.29483342837,47521.985362313964,64596.943610210044,91709.30007877642,56860.78388045685,66286.04523703155,93976.219586176
1569888000,66640.8666210893,59945.435209695126,64157.44923313694,93788.60356055878,83924.42485689813,71963.80886251324,66996.08042590124,94958.65866839886,59623.04319493304,51806.52872706777,67935.9116547706,97077.0848505566,64804.49087532021,69646.04814148901,99403.23062418908
1572566400,62422.1035145435,57261.96899630246,60332.608951016075,89228.94087378052,78637.50249983961,68037.57236215711,63262.086899094684,91817.61087271287,58487.642403430946,47018.655892140705,66267.2218961879,96945.1541981104,61431.79920936617,68036.24290859769,95572.9001362881
1575158400,65722.36520605962,56370.623751769024,65477.513079935896,93782.08028069556,82088.40600493617,70480.4039873231,68265.89897069769,93442.83317888636,58628.00603268489,48800.82879469571,67525.60698027315,98434.30591870692,62253.804587560655,72530.53713269501,98053.76529622445
1577836800,66280.33982559184,61831.51133692775,64776.79410107083,93114.80744094728,84997.01912664186,70827.96373983266,67209.23427755032,98340.58919331447,61942.05642145923,50881.88458435178,71813.89798468247,96950.16448467657,66158.46723328577,72917.2150354701,96394.42574654345
1580515200,59844.36336390141,53838.441896494194,60157.160546716834,88119.2599897527,77237.31863555082,65842.18848829855,59789.36170212765,87840.80907776454,57295.04147541321,45722.52170070164,65733.77734494672,91407.95791004684,57646.552732829055,64358.79857847071,90981.45991521867
1583020800,68147.35450338523,61104.492397100796,66159.78367459585,98565.40270267293,86246.54789931183,73816.38564774995,67573.94445389169,98563.95394478609,63367.596908788095,51936.20700244249,73286.21485726238,103648.83407007449,70945.38017324352,74798.5755364669,101794.4434102755
1585699200,65717.64158130874,58924.60699813891,66876.7830098968,91998.8935251957,82596.16327947535,71972.67186088674,66084.90837886716,97096.50340872534,60437.73776535787,49786.73545558484,69943.56248723557,98475.528830826,61740.61269236849,73625.98658112093,91984.93257104578
1588291200,63658.21758052747,57705.23355044879,60344.52794739312,90055.94775272856,78337.6640543858,67111.63729271428,65255.72756098499,91115.86927461691,58425.93815970661,47054.140767889374,67100.61620069397,97508.29208930967,59055.08722430582,71349.75043736599,95548.87330040823
1590969600,67196.51521619411,59282.43102679675,68205.45041368419,92885.74874969707,83613.01738496576,72311.43407567736,65778.68232511448,95956.50161114831,63472.89577511094,49286.509600464306,69759.57090812978,97585.32821969835,64461.938465982974,70575.18301173205,97085.93168279968
