month,ratio_quantity.01K,ratio_quantity.01T,ratio_quantity.01V,ratio_quantity.01W,ratio_quantity.01X,ratio_quantity.01Y,ratio_quantity.02A,ratio_quantity.02E,ratio_quantity.02G,ratio_quantity.02H,ratio_quantity.02M,ratio_quantity.02P,ratio_quantity.02Q,ratio_quantity.02T,ratio_quantity.02X
1612137600,62457.39618208349,128274.73271857009,93158.40250037872,70224.00690900724,145241.4797699475,82598.34117253727,76317.28679590991,95535.60412243936,98958.95614251046,106045.20027655312,88510.86618717812,114194.58753124764,117240.02000166682,67649.3178099604,79180.60888434634
1614556800,70718.99422744822,149087.5098273581,104941.44470929631,79204.94744170076,159987.67211336634,94854.41426923289,89921.50886978522,107638.42850600148,113104.46437197538,120861.29021651077,98157.49642393798,129019.61415521654,133879.9780142907,73579.96818487026,91667.63851975524
1617235200,66820.57067738063,142213.61596742176,100666.07248014513,78119.1110635714,154768.15380526625,91370.85711150132,84537.55803080759,99842.83610827953,107235.15379015778,115543.73497753157,93947.58133787011,125053.8828577591,130242.64901543374,71860.22841908057,86465.80458800835
1619827200,65722.00861207797,133786.0665097379,96236.15781482277,75654.5247581104,147526.64972711282,85057.18009099431,80913.08997926519,96912.45345919357,103818.27514499558,109402.45746861052,91235.26740218884,115966.10727337384,121636.6988630229,67107.4688946108,81155.07726269313
1622505600,68232.7838984257,149137.9948205697,101801.76708486612,77464.88605241336,158552.01081784946,93620.52104611366,86019.59836857708,105191.98282616475,111199.36094944655,117250.0990813003,97466.03493865268,126302.86349441591,132117.3384824477,72345.8125508786,86660.10522830122
1625097600,69934.79974614305,147276.95670739093,102892.92122520921,80310.71504789163,163309.1351180976,92667.24624982316,85528.73196714943,102602.18691284866,112806.73028805209,116195.59521470123,97889.52428310955,126476.14695184823,130669.1399076877,73964.51898569163,86686.99043869344
1627776000,66188.95379471216,136047.83112878154,99588.28189993266,75560.58430320057,156511.7197458597,88915.76288880681,82521.76203036068,102200.7591467263,106596.533457494,110132.15151470082,94379.76330969369,122311.65036448678,127531.92104393791,68342.82529251267,83190.21163859297
1630454400,69482.08175812154,152773.6278012342,103041.12322713992,78715.73181159036,163364.05023312528,93476.0199875192,85932.76992164717,102387.99589603284,112302.14438634051,118780.06638003014,100272.23865144528,129409.07323444914,130964.48103207927,75822.54252671119,82763.35301365801
1633046400,66605.10041749314,139791.14766841027,98593.66965437042,74469.10051684358,156363.234257783,89404.59927140255,81962.22483218739,99179.62271274655,108192.87914318714,110012.46964235882,92535.08463205131,123634.8518424838,123801.00716222565,70519.39058171745,82413.44049205784
1635724800,68628.30479912771,146370.89527985064,100170.22572809772,76982.81528782047,160393.19776858014,93228.28120945014,86788.21696320044,101511.93288482094,112383.16576347385,115522.07250380557,101256.29010283906,126933.59898268378,128064.41649576242,71358.63551721346,85032.1005695558
1638316800,74233.08623678843,159405.06143664286,109355.04520452677,82247.90237891964,171456.00551680024,95961.27172098901,88285.92924251322,101345.25678403227,114387.94325624277,120685.13171391138,107545.50343230592,131873.57366759333,138483.53574249605,74126.66663666758,90540.97654423963
1640995200,66645.65068038076,143122.1934177086,104101.47791037697,80508.43697962066,155965.85968033742,91745.49999999999,83295.19422818244,100504.82761710612,106966.5812002955,112111.10617503329,101143.67025097465,124342.0447260248,124334.66996442042,70815.30246869149,81119.92880715348
1643673600,64288.542467984975,137228.2560228301,94540.88448010117,71681.45609022741,152615.21324315414,83280.77808711924,78452.8126604353,93106.482787021,102775.0427617584,105167.0381585841,90716.29844854998,118351.78943082075,118249.85432550657,68731.97201841461,79016.27167039343
1646092800,75230.4963035212,162189.68019554924,111457.54985304807,83375.64362055469,170795.69280536743,97327.73254177901,90766.95762680798,107697.6918981554,118453.61988004617,120910.58285700767,108800.77358842028,136417.28930938468,133663.12286367698,73802.82481810906,89316.8334339425
1648771200,69449.78653623228,152681.82570185035,100774.29241743223,73912.27627144537,161578.04630919048,94879.33918767597,84918.85125783601,97593.57440131604,107140.94442470514,112573.33479067459,99608.63372411527,127276.8349668834,129916.21690240051,71789.76902582902,83646.26586038292
1651363200,71772.07799184568,156449.41417561367,108635.11047563376,83714.44068303816,163954.71922224658,93491.6506174238,87679.04207203981,103377.71813159574,114597.99234353619,115174.48744865622,105962.73989103951,128246.31893527647,127608.01610421918,73567.08864170144,87761.23040181791
1654041600,70655.242959535,155245.29046131528,108280.29124450166,79323.70212301989,159623.1788641,92241.15043245422,88624.94820399908,101432.6277518792,111436.22634328617,121261.44068546746,98616.4776302327,131452.75782983043,129656.27373941171,69438.37781529508,86092.52106207606
1656633600,69261.64414477952,154234.4304409203,101281.54427841843,78139.46979709245,156645.34367739296,96660.90748934587,85461.98275372548,99893.7137154085,115533.6760703331,112751.2711302374,105043.0881380569,128751.38590827261,127220.38722515822,74078.11174593485,86984.76449242326
1659312000,71134.4926881599,156326.54942065553,105568.40039099449,80960.04099951855,169536.76334979883,95214.10852993897,88429.0298921742,100186.20892253869,113016.78197255115,114895.16162276443,102978.97132503029,136716.6916322217,139511.5775418485,70646.64158861534,88938.94051875368
1661990400,71013.4934693981,160405.34703651717,105494.48818897638,80502.60406165374,163567.704699057,93277.81171519717,91510.44195229311,100857.66666666667,115217.1285504619,119246.65229449816,103243.54311947613,134461.23689294895,131698.59161797332,75481.39631825945,85283.90124699472
1664582400,70100.75484917143,152964.0266309557,102504.21259842519,78747.76214337793,161399.79768685313,89550.0767068982,85336.83040226402,97062.99373437477,110219.31447552989,110852.2461721159,94095.99490379276,129673.40264338329,129488.10876623377,73167.3646170539,85893.7547912456
1667260800,70789.92245884139,159207.82970083438,103944.3144484625,78758.16648940952,160380.48651638918,95701.01087767702,88960.74136342325,100168.16606232215,111990.38461538461,115340.86037921986,105272.21058929105,132287.22806123213,131709.06187430592,70595.12446505792,85914.88840204311
1669852800,73326.5279204342,160896.09837770642,111716.79750553145,82473.19420957759,174614.20153152794,93264.1559744562,87619.80508207709,105978.46477242993,118476.28277145528,115137.93214635372,110838.03738977839,139689.66950504392,138197.5271679762,73502.60095794109,89235.28398166844
1672531200,70812.01370748013,156066.88100039322,100799.97164617578,81204.88940628635,160651.23619934774,102240.91134895904,87818.94398786395,100805.94911521091,112040.97643790513,113971.21806890087,104654.27626397857,133137.07131273713,137572.59029327126,73194.87450651778,85891.96359504931
