month,ratio_quantity.26A,ratio_quantity.27D,ratio_quantity.36J,ratio_quantity.36L,ratio_quantity.42D,ratio_quantity.52R,ratio_quantity.70F,ratio_quantity.71E,ratio_quantity.72Q,ratio_quantity.78H,ratio_quantity.84H,ratio_quantity.91Q,ratio_quantity.92A,ratio_quantity.92G,ratio_quantity.93C
1554076800,536.8790450123188,410.28711808478573,331.6612266217749,175.0179558417688,386.73228302633584,404.27514299618866,303.08257055363663,582.2955321609122,225.1800560381945,377.330684751528,661.5803108133891,390.50002468742304,226.64788168808184,351.20089905126196,182.94468483202576
1556668800,560.0220130541898,429.2399466558715,351.761920838097,183.62163442139757,422.6513760091,428.6581103374997,328.40928144639497,621.9012559446496,232.09131431095247,404.20024192332613,690.2637780325367,411.92534580304556,234.15512450216016,389.9254308350247,193.80142159435272
1559347200,524.4799367349603,412.56075902641,331.32040050606395,167.20369947986373,389.9797428175848,397.0852511111717,309.1881548263555,562.311954597115,219.4185455463572,373.4990316655709,645.258222761436,390.04082865230055,220.67641029272306,351.0444203506236,174.78484978917612
1561939200,534.0760897673068,424.79229649198305,336.40005134399337,178.8779721160049,409.6521071228464,420.87720994315544,305.75495368428943,596.3452534869147,233.35604917393684,383.24622385360857,676.8567643906333,409.6985974205113,221.90111615140287,355.0167879610874,188.2571163488891
1564617600,564.6436561803785,432.9651984204674,355.71929837343095,176.32293004576715,428.0613440322311,425.5667095784601,346.08667559450635,615.989259814828,232.6705706012774,418.7065660708386,695.8726280808285,418.06884147485135,245.0651991350998,398.0211043897302,179.7941671839863
1567296000,527.2807490496598,403.2492942299261,327.33291000470115,173.13535146042375,404.9511161887425,412.54329303543915,313.71011496872137,579.3850878715392,224.30939764647655,379.76175294194104,651.2537626201159,394.66792308254253,231.15915095453153,362.41353012170146,179.74447599458827
1569888000,555.7773264739328,431.73679968791686,361.59709254577365,183.37959028771132,426.14673369117247,429.5521816366724,339.6971940789299,609.0244268198169,237.9782441993441,405.5485534951727,693.7099763438158,416.89442452946327,240.28659717827662,383.52265482050933,190.52907570997533
1572566400,536.2845407811034,424.25142262894485,337.02859743714197,174.61378685999236,414.7714767874968,412.6967673376629,323.1342249362785,598.7247852446576,225.2457843469617,394.27800095690816,655.0678129320687,403.18535621729,237.22799964955905,373.87018492669256,180.42955868747526
1575158400,553.0024231279677,435.6503725426921,353.4081279063815,178.6345981975658,418.97616956414663,426.3863112539338,336.22060155446263,613.284829821375,233.75426087608923,401.32971775699787,682.8607954856351,415.5685428359325,240.40482983914325,381.5911456490792,184.3818240397123
1577836800,558.3608047582039,442.2212169111852,358.9450306192257,181.47940839451306,420.23275723452986,444.0478762695655,337.4296441272033,618.5623734538823,235.24280998360567,408.42481073372596,692.0587666908077,418.37137315589854,242.7077870225526,386.0812246379583,196.12005445049806
1580515200,505.1711376743592,400.71641810603376,322.7256490761338,168.56147888657006,391.7294539902854,404.89122317742294,315.69805105405436,560.7904027719845,214.83249379041666,367.15407435160154,620.5379736376752,376.0876208344059,219.42783913962725,352.4831406274816,173.21906717955528
1583020800,570.0349786464424,450.7766018587548,365.75423988918965,190.08547806603323,442.3853045055033,448.0994334148069,353.97541829908545,638.3049406296426,242.7534950134759,412.47363028105167,710.7691130840548,439.17866696313524,257.5411291787928,393.9222141978865,205.64388323098447
